,index,x,y,y_error,y_pseudodata
0,0,-0.9597873097750842,-0.669833086116061,0.052,-0.6416556405854021
1,1,-0.9061826803131324,-0.5798585540922075,0.052,-0.5616853879649991
2,2,-0.8545436652929859,-0.6697499561028817,0.052,-0.7329699219881853
3,3,-0.8186188861080459,-0.5644914798101377,0.052,-0.5756668156435939
4,4,-0.7312804027010571,-0.5700728180908154,0.052,-0.586197409481283
5,5,-0.723491587477721,-0.5020946735950841,0.052,-0.4275043394515648
6,6,-0.7147447014058965,-0.4665121668686448,0.052,-0.46378266174305893
7,7,-0.6255474835924506,-0.3575263139588753,0.052,-0.2635149514102332
8,8,-0.5755326746490081,-0.4567956487967598,0.052,-0.4638850190186639
9,9,-0.3605495919643233,-0.3982990018946172,0.052,-0.38551370575457916
10,10,-0.2899135036244571,-0.1794881872948436,0.052,-0.13067004469412646
11,11,-0.2498316944533107,-0.1481963513444206,0.052,-0.2729005189604439
12,12,-0.2444277993532315,-0.2727662838281719,0.052,-0.1881015315954557
13,13,-0.2068641589960902,-0.2402712164154522,0.052,-0.24404243028341435
14,14,-0.091426333363751,-0.2223153809949735,0.052,-0.20283554325165395
15,15,-0.0593417473658197,-0.1135095881666123,0.052,-0.14908834019892653
16,16,-0.0367116386119183,-0.0623932679016278,0.052,-0.09426258705707209
17,17,0.2038909814386873,0.0513611679603615,0.052,0.058889798123868346
18,18,0.2354715116371171,0.0134625271040728,0.052,-0.03151622077573116
19,19,0.3117396584180183,0.1963391931491483,0.052,0.22827908062737828
20,20,0.3625153113312569,0.160803786153478,0.052,0.16790544254587997
21,21,0.3681566802336247,0.1932355912114454,0.052,0.2510567765585788
22,22,0.3816744953784678,0.1134271553002559,0.052,0.06102489783038697
23,23,0.3838678182797079,0.2110027416251734,0.052,0.2260398163825212
24,24,0.6060421164495327,0.3053033678266054,0.052,0.31520517987072805
25,25,0.7489201475481488,0.5454311078732903,0.052,0.481489287204029
26,26,0.7705821668462527,0.3958393267290144,0.052,0.36556552682070936
27,27,0.7901046370248785,0.3321694614297068,0.052,0.29724164548436915
28,28,0.8870549373373902,0.4460708752727242,0.052,0.4283665055469955
29,29,0.8985113623847651,0.5562316197819542,0.052,0.46723792977011913
