,$x$,$y$
0,1.0,1.1037933740693944
1,2.0888888888888886,1.9011190033890848
2,3.177777777777777,3.0220121017772876
3,4.266666666666666,4.1376497112322514
4,5.355555555555554,5.522473486562239
5,6.444444444444443,6.244997163073318
6,7.533333333333331,7.599207977856911
7,8.62222222222222,8.63870574396838
8,9.711111111111109,10.10310553786301
9,10.799999999999997,10.560249058925358
10,11.888888888888886,12.262969436987616
11,12.977777777777774,12.988421420212378
12,14.066666666666663,14.412458497187409
13,15.155555555555551,15.10632191956839
14,16.24444444444444,16.25343353730925
15,17.33333333333333,17.313723715542086
16,18.422222222222217,18.51690451316905
17,19.511111111111106,19.653674290135026
18,20.599999999999994,20.844405284643273
19,21.688888888888883,21.376610485897842
20,22.77777777777777,22.852410430614913
21,23.86666666666666,23.879169580466616
22,24.95555555555555,24.648148675844137
23,26.044444444444437,26.198857777605603
24,27.133333333333326,27.03514349343619
25,28.222222222222214,28.352765016139838
26,29.311111111111103,29.11538189403808
27,30.39999999999999,30.486969083865887
28,31.48888888888888,31.629419666961734
29,32.57777777777777,32.31100631437078
30,33.66666666666666,33.350551021128396
31,34.755555555555546,34.758310407763545
32,35.844444444444434,35.698683537620774
33,36.93333333333332,36.97440238142465
34,38.02222222222221,38.06767403107077
35,39.1111111111111,39.044947520811775
36,40.19999999999999,39.84309428759723
37,41.28888888888888,41.024243353389686
38,42.377777777777766,42.551149085180406
39,43.466666666666654,43.464367098453884
40,44.55555555555554,44.28127281084239
41,45.64444444444443,45.37450451109004
42,46.73333333333332,46.50127500402571
43,47.82222222222221,47.70209887356083
44,48.9111111111111,48.9415147148617
45,49.999999999999986,50.04889481043757
