,x,y
0,1.0,1.0227961733593867
1,2.6333333333333333,14.298228267329327
2,4.266666666666667,38.62417213524942
3,5.9,73.70788147763798
4,7.533333333333333,119.10624109958282
5,9.166666666666666,175.1433337689929
6,10.8,241.98851413081798
7,12.433333333333334,319.6442518923113
8,14.066666666666666,407.7362184457932
9,15.7,506.54438979525025
10,17.333333333333332,616.2725664629924
11,18.966666666666665,736.3663918432297
12,20.6,867.0397833012353
13,22.233333333333334,1008.7457219867578
14,23.866666666666667,1161.1745097877972
15,25.5,1324.2081516276555
16,27.133333333333333,1497.612922569546
17,28.766666666666666,1681.5736563524918
18,30.4,1876.9197918297689
19,32.03333333333333,2082.290380323134
20,33.666666666666664,2298.7305109334957
21,35.3,2525.5095082051366
22,36.93333333333333,2763.073798076887
23,38.56666666666666,3011.5334036847216
24,40.2,3270.39727248731
25,41.833333333333336,3540.257966194397
26,43.46666666666667,3820.2135912269105
27,45.1,4110.989146500263
28,46.733333333333334,4412.88398422074
29,48.36666666666667,4725.255908367613
