index,x,y,y_error
0,-0.7378842543776245,0.34820074336447404,0.052
1,-0.6960453407447429,0.5680163155053073,0.052
2,-0.16007514670477407,1.236989531111003,0.052
3,-0.11737870767916392,1.2000866586724572,0.052
4,0.002264097571895718,1.407350151872125,0.052
5,0.05420019834431078,1.5647555631531136,0.052
6,0.21487358397878187,1.7769282047612573,0.052
7,0.24524110341355376,1.9658125379460052,0.052
8,0.2456315006633627,1.7864308524457346,0.052
9,0.2870507203992485,1.949521849487135,0.052
10,0.29981540815796426,2.031322952018191,0.052
11,0.3258276796876578,2.070708608568297,0.052
12,0.32659189207730566,2.0822174348514864,0.052
13,0.3491120624625288,2.089861240089436,0.052
14,0.40844511542456985,2.1143761106936427,0.052
15,0.5781084053526211,2.456743945995128,0.052
16,0.6044113050944788,2.5328329746299856,0.052
17,0.6154210112786045,2.4626289794023895,0.052
18,0.6380865467600461,2.4804337716197242,0.052
19,0.653935293855032,2.508867089169107,0.052
20,0.668920140357373,2.546405687890879,0.052
21,0.6943810080108506,2.600932876380306,0.052
22,0.7105898812709477,2.5677594004659983,0.052
23,0.7208081026588113,2.472275773277976,0.052
24,0.7580408009219908,2.648432231665661,0.052
25,0.7734088837183317,2.5265902355259366,0.052
26,0.792659629132658,2.5921991229976906,0.052
27,0.8290068297914284,2.6552498264762234,0.052
28,0.8573373683228593,2.5851733883001575,0.052
29,0.9529061764417373,2.830584362907474,0.052
